City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,37.71,76,73,31.9,TF,1690058495
1,dickinson,29.4608,-95.0513,101.08,56,75,6.91,US,1690058496
2,bestobe,52.4994,73.0975,71.44,44,72,4.23,KZ,1690058496
3,luanda,-8.8368,13.2343,71.6,83,75,8.05,AO,1690058496
4,iqaluit,63.7506,-68.5145,46.13,87,100,4.61,CA,1690058497
5,cam ranh,11.9214,109.1591,80.56,89,75,3.44,VN,1690058497
6,college,64.8569,-147.8028,84.58,45,75,1.99,US,1690058498
7,princeville,45.7668,-61.2985,69.51,98,100,3.44,CA,1690058498
8,puerto ayora,-0.7393,-90.3518,87.76,74,37,9.51,EC,1690058499
9,margaret river,-33.95,115.0667,51.37,89,13,8.41,AU,1690058500
10,badger,64.8,-147.5333,84.51,47,0,0.0,US,1690058500
11,altamira,-3.2033,-52.2064,91.49,43,40,3.44,BR,1690058289
12,contamana,-7.3333,-75.0167,92.86,36,39,5.64,PE,1690058501
13,tiksi,71.6872,128.8694,46.02,73,49,13.62,RU,1690058502
14,stanley,54.868,-1.6985,59.72,94,100,11.5,GB,1690058503
15,punta arenas,-53.15,-70.9167,31.57,80,18,9.51,CL,1690058503
16,al kharijah,25.4514,30.5464,89.22,17,56,6.42,EG,1690058504
17,tchibanga,-2.85,11.0333,68.63,87,7,2.91,GA,1690058504
18,moranbah,-22.0016,148.0466,52.95,50,6,11.32,AU,1690058505
19,aquin,18.2833,-73.4,84.81,70,38,5.91,HT,1690058505
20,hadibu,12.65,54.0333,77.86,81,100,19.86,YE,1690058506
21,waitangi,-43.9535,-176.5597,51.82,96,100,7.0,NZ,1690058506
22,'anat al qadimah,34.4659,41.9331,94.48,12,0,10.98,IQ,1690058507
23,wailua homesteads,22.0669,-159.378,81.03,83,100,14.97,US,1690058507
24,new norfolk,-42.7826,147.0587,43.88,95,26,2.82,AU,1690058508
25,grytviken,-54.2811,-36.5092,18.77,70,69,10.29,GS,1690058508
26,uturoa,-16.7333,-151.4333,76.44,74,93,12.82,PF,1690058509
27,longyearbyen,78.2186,15.6401,48.04,71,40,6.91,SJ,1690058509
28,afaahiti,-17.75,-149.2833,76.87,65,78,8.86,PF,1690058509
29,yellowknife,62.456,-114.3525,72.12,40,75,9.22,CA,1690058510
30,puerto san jose,13.9256,-90.8244,88.5,62,100,8.57,GT,1690058510
31,isafjordur,66.0755,-23.124,52.63,77,99,1.57,IS,1690058511
32,thunder bay,48.4001,-89.3168,73.38,60,75,6.91,CA,1690058349
33,kudahuvadhoo,2.6708,72.8944,82.54,72,66,1.57,MV,1690058512
34,rongelap,11.1635,166.8941,83.28,74,58,18.01,MH,1690058513
35,chonchi,-42.6128,-73.8092,44.11,75,86,4.09,CL,1690058513
36,st. john's,47.5649,-52.7093,76.39,78,75,16.11,CA,1690058513
37,puerto natales,-51.7236,-72.4875,28.4,87,15,4.09,CL,1690058514
38,massaguet,12.4755,15.4365,92.25,43,100,3.83,TD,1690058514
39,ilulissat,69.2167,-51.1,50.02,93,75,4.61,GL,1690058515
40,la passe,45.5549,-0.8967,68.23,87,46,5.88,FR,1690058515
41,aberdeen,57.1437,-2.0981,56.19,89,100,8.05,GB,1690058516
42,albany,42.6001,-73.9662,82.78,47,0,1.01,US,1690058299
43,vorgashor,67.5833,63.95,61.63,92,100,3.76,RU,1690058516
44,acapulco de juarez,16.8634,-99.8901,91.22,58,40,6.91,MX,1690058517
45,opuwo,-18.0607,13.84,64.81,32,0,4.23,NA,1690058517
46,adamstown,-25.066,-130.1015,69.44,67,21,17.87,PN,1690058518
47,siwa oasis,29.2041,25.5195,92.82,29,0,14.58,EG,1690058518
48,ribeira grande,38.5167,-28.7,73.8,78,75,3.44,PT,1690058519
49,hermanus,-34.4187,19.2345,50.81,88,100,7.56,ZA,1690058519
50,sarykemer,43.0,71.5,83.68,31,0,7.63,KZ,1690058519
51,kruisfontein,-34.0033,24.7314,48.88,87,0,6.58,ZA,1690058520
52,aral,40.5156,81.2636,88.63,20,92,11.68,CN,1690058520
53,leua,48.2156,18.6071,62.96,62,100,3.6,SK,1690058521
54,knyaze-volkonskoye,48.4642,135.4567,68.29,56,100,2.04,RU,1690058521
55,kralendijk,12.15,-68.2667,85.98,74,75,18.41,BQ,1690058523
56,utrik,11.2278,169.8474,82.74,72,19,18.3,MH,1690058523
57,qaqortoq,60.7167,-46.0333,51.1,72,100,2.42,GL,1690058524
58,ust-tsilma,65.441,52.1498,57.2,98,100,4.47,RU,1690058525
59,ust-nera,64.5667,143.2,54.75,82,91,3.31,RU,1690058525
60,aiquile,-18.2041,-65.1807,76.41,28,0,8.46,BO,1690058526
61,avarua,-21.2078,-159.775,71.65,94,100,20.71,CK,1690058527
62,la'ie,21.6477,-157.9253,85.96,70,64,12.68,US,1690058527
63,salinas,36.6777,-121.6555,103.01,63,0,9.22,US,1690057954
64,solleftea,63.1667,17.2667,57.06,97,100,2.73,SE,1690058529
65,usogorsk,63.4106,48.6872,52.61,99,12,5.12,RU,1690058530
66,karratha,-20.7377,116.8463,62.11,23,0,20.49,AU,1690058530
67,kodiak,57.79,-152.4072,47.71,93,100,4.61,US,1690058531
68,blackmans bay,-43.0167,147.3167,42.69,91,42,3.06,AU,1690058531
69,truth or consequences,33.1284,-107.2528,96.91,22,0,6.91,US,1690058340
70,grand falls-windsor,48.9332,-55.6649,80.51,67,100,4.0,CA,1690058244
71,dalandzadgad,43.5708,104.425,69.55,59,98,6.4,MN,1690058533
72,east london,-33.0153,27.9116,64.76,73,22,11.7,ZA,1690058533
73,aldinga beach,-35.2793,138.4604,48.67,79,54,8.84,AU,1690058534
74,arraial do cabo,-22.9661,-42.0278,69.66,83,40,13.8,BR,1690058534
75,auki,-8.7676,160.7034,78.55,87,100,3.22,SB,1690058535
76,upata,8.0086,-62.3989,85.19,55,99,4.94,VE,1690058535
77,tura,25.5198,90.2201,75.25,98,100,4.32,IN,1690058464
78,olonkinbyen,70.9221,-8.7187,43.0,77,100,5.84,SJ,1690058536
79,la ronge,55.1001,-105.2842,68.25,60,40,9.22,CA,1690058536
80,bakal,54.9417,58.8083,51.55,98,20,5.73,RU,1690058537
81,whitehorse,60.7161,-135.0538,65.17,72,75,4.61,CA,1690058537
82,lebu,-37.6167,-73.65,52.02,82,9,6.17,CL,1690058538
83,anadyr,64.75,177.4833,59.5,82,75,4.47,RU,1690058538
84,gustavsberg,59.3268,18.3898,59.18,76,88,7.74,SE,1690058539
85,qarazhal,48.0078,70.7903,71.96,30,77,7.18,KZ,1690058539
86,fale old settlement,-9.3852,-171.2468,83.12,74,6,6.69,TK,1690058540
87,inongo,-1.95,18.2667,73.99,71,79,6.04,CD,1690058540
88,souillac,-20.5167,57.5167,73.78,78,40,14.97,MU,1690058541
89,roma,43.2128,-75.4557,80.58,46,40,13.8,US,1690058542
90,edinburgh of the seven seas,-37.0676,-12.3116,54.99,72,26,22.59,SH,1690058542
91,dudinka,69.4058,86.1778,56.59,96,100,11.36,RU,1690058543
92,laojunmiao,39.8333,97.7333,68.72,30,78,2.71,CN,1690058543
93,al ghayzah,16.2079,52.176,79.38,84,96,9.98,YE,1690058543
94,remire-montjoly,4.9167,-52.2667,84.24,79,75,2.3,GF,1690058544
95,posto fiscal rolim de moura,-13.0833,-62.2667,90.21,25,0,2.57,BR,1690058545
96,midelt,32.6852,-4.7451,86.56,13,98,7.94,MA,1690058545
97,winneba,5.3511,-0.6231,75.69,90,98,11.54,GH,1690058546
98,lundazi,-12.2929,33.1782,61.02,63,35,6.08,ZM,1690058547
99,dhidhdhoo,6.8833,73.1,82.58,80,85,15.5,MV,1690058548
